experiment,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std
B_clinical_only,LogReg,0.7523809523809524,0.034776035397153404,0.754264705882353,0.029872066527164395,0.7455609831345125,0.032321729484807486,0.8396657754010693,0.08283093838743012
C2_clin_plus_proba,LogReg,0.7378306878306878,0.050023789866863344,0.7415909090909092,0.040779411567477955,0.7313029635161474,0.047347516995764116,0.8264705882352942,0.08080891448799489
B_clinical_only,RandomForest,0.7444444444444444,0.05216405309573012,0.7340975935828877,0.050857664737393386,0.7329472243442832,0.053831931056986644,0.7347860962566843,0.060575893833703987
B_clinical_only,LinearSVM,0.7515873015873015,0.032648118029576456,0.7278810160427808,0.03598391857652911,0.730414569417127,0.03771635829309318,0.8407352941176469,0.0865769145947881
A_QRS_only,RandomForest,0.7447089947089947,0.03472064748255737,0.7191577540106951,0.026524185040882744,0.7232442067736186,0.03050143447909386,0.7924999999999999,0.07809372711897922
C2_clin_plus_proba,LinearSVM,0.7373015873015872,0.02945313077519022,0.7161163101604279,0.028725572810169086,0.7170614732379439,0.031030675416097282,0.8243048128342245,0.08030778819484569
C2_clin_plus_proba,GradientBoosting,0.7227513227513228,0.04014937047169651,0.7073663101604278,0.044659764505900604,0.7071794626941686,0.044531260067633444,0.753235294117647,0.03782813011891586
B_clinical_only,GradientBoosting,0.7224867724867724,0.04926605014596731,0.7060895721925133,0.05813896412934173,0.7056967160814769,0.058029799198903366,0.7336229946524064,0.05401838842334117
A_QRS_only,LogReg,0.7076719576719577,0.029783942458194993,0.6963368983957221,0.04253914796224766,0.689589995324918,0.03752889114516044,0.6982620320855615,0.09479684363166745
C2_clin_plus_proba,MLP,0.693915343915344,0.06364069903723635,0.6945454545454546,0.0651264156578814,0.6848487097756875,0.06154690048289328,0.757192513368984,0.08361518769902859
C2_clin_plus_proba,RandomForest,0.7087301587301588,0.08295665265926871,0.6945187165775402,0.08190037234796094,0.6946603087875467,0.08566606489520094,0.7826336898395722,0.044492874418943534
A_QRS_only,GradientBoosting,0.6714285714285715,0.02698866545504145,0.6519050802139038,0.03809500716880921,0.6483579026146471,0.03710742304139072,0.7417780748663102,0.06661541483305385
A_QRS_only,MLP,0.6857142857142857,0.10705954040581307,0.6446122994652406,0.12784201748846685,0.6318394039363608,0.15123048615412124,0.76725935828877,0.13004637827940033
A_QRS_only,LinearSVM,0.6854497354497354,0.0696576470223889,0.6294786096256684,0.08355392710947615,0.6136708507832875,0.11477939643533332,0.7382352941176471,0.10533601384551637
B_clinical_only,MLP,0.6354497354497355,0.039777223900396216,0.5363636363636364,0.05926547641093317,0.4440981240981241,0.10185946494742931,0.7156818181818182,0.1422780071822326
